,id,document,label
0,9976970,아 더빙 진짜 짜증나다 목소리,0
1,3819312,흠 포스터 보고 초딩 영화 줄 오버 연기 조차 가볍다 않다,1
2,10265843,너 무재 밓었 다그 래서 보다 추천 다,0
3,9045019,교도소 이야기 구먼 솔직하다 재미 없다 평점 조정,0
4,6483659,사이 몬페 그 익살스럽다 연기 돋보이다 영화 스파이더맨 에서 늙다 보이다 커스틴 던스트 너무나도 이쁘다 보이다,1
5,5403919,막 걸음 마 떼다 세 부터 초등학교 학년 생인 살다 영화 ㅋㅋㅋ 별 반개 아깝다 움,0
6,7797314,원작 긴장감 을 제대로 살리다,0
7,9443947,별 반개 아깝다 욕 나오다 이응경 길용우 연 기 생활 몇 년 인지 정말 발 로 해도 그것 보단 낫다 납치 감금 만 반복 반복 드라마 가족 없다 연기 못 사람 만 모 엿 네,0
8,7156791,액션 없다 재미 있다 몇 안되다 영화,1
9,5912145,왜케 평점 낮다 꽤 볼 만 데 헐리우드 식 화려하다 너무 길들이다 있다,1
10,9008700,인피니트 짱 이다 진짜 짱 이다,1
11,10217543,볼때 마다 눈물나다 죽다 년대 향수 극 허진호 감성 절제 멜로 달인 이다,1
12,5957425,울면 서 손 고 횡단보도 건너다 때 뛰다 치다 올 뻔 이범수 연기 드럽다 못,0
13,8628627,담백하다 깔끔하다 좋다 신 문 기 사 로만 보다 보다 자꾸 잊어버리다 그 사람 이다 것 을,1
14,9864035,취향 존중 다지 만 진짜 내생 극장 에서 보다 영화 중 가장 노잼 노 감동 임 스토리 어거지 고 감동 어거지,0
15,6852435,ㄱ 냥 매번 긴장 되다 재밋음 ㅠㅠ,1
16,9143163,차다 사람 웃기다 바스코 이기 면 락스 코 라고 끄다 바비 이기 면 아이돌 이라고 깔다 다그 냥 끄다 안달 난 것 처럼 보이다,1
17,4891476,굿바이 레닌 표절 인 것 이해 왜 뒤 로 갈수록 재미 없어지다,0
18,7465483,이건 정말 깨알 캐스팅 질퍽 하 지 않다 산뜻하다 내 용구성 자다 버무러진 깨알 일드,1
19,3989148,약탈 위 변명 이르다 저 놈 착하다 놈 절대 아니다 걸 요,1
20,4581211,나름 심오하다 뜻 있다 듯 그냥 학생 선생 놀다 영화 절대 아니다,1
21,2718894,보다 웃다 않다 건 불가능하다,1
22,9705777,재미없다 지루하다 같다 음식 영화 인데 바베트 만찬 하고 넘다 차이 남바 베트 만찬 이야기 있다 음식 보다 재미 있다 이건 볼 게 없다 음식 별로 안 나오다 핀란드 풍경 이라도 구 경 할랫 늘다 그것 별로 안 나오다 ㅡㅡ,0
23,471131,절대 평범하다 영화 아니다 수작 이라 는걸 말씀드리다,1
24,8480268,주제 좋다 중반 부터 지루하다,0
25,4254115,다 짤랐을꺼 야 그래서 납득 수 없다 그렇다 꼭 그렇다 끄다,0
26,7295746,고추 털다 버리다,1
27,5457633,카밀라 벨 발연기,0
28,6091784,재밋는뎅,1
29,8322926,센스 있다 연출 력 탁월하다 캐스팅 년대 향수 그래서 점,1
30,6331922,엄포스 위력 을 다시 한번 깨닫다 해주다 적남 꽃 검사 님 연기 정말 좋다 완전 명품 드라마,1
31,9005897,졸 쓰레기 진부하다 도안 돼다 ㅋㅋ 아시 간 아깝다,0
32,164908,재밌다 별 점 왜 이리 낮다,1
33,9671124,라도 기대하다 내 죄인 이다 죄인 이다,0
34,5712231,아직도 드라마 내 인생 최고,1
35,4726746,패션 대한 열정 안나 윈 투어,1
36,7203432,키이라 나이틀리 연기 대체 정신장애 이다 틱장애 이다,0
37,112724,허허 원 작가 정신 나가다 유령 이라 재미있다,1
38,1105872,포스터 있다 보이다 관객 명 이네,0
39,4805788,영화 왜 이렇게 저 평가 받다 모르다,1
40,9336496,단순하다 은은하다 매력 영화,1
41,9994900,다 알바생 인가 내용 없다 무섭다 없다 웃기다 하나 없다 완전 별 싱겁다 영화 ㅇㅇ 내 ㅇ 시간 넘다 아깝다 움 완전 낚임,0
42,6760577,오다 두다 서리 굶주리다,1
43,3440864,정말 맘 들다 그래서 또 보다 또 보다 방법 없다 ㅜㅡ,1
44,8548510,윤제문 이라는 멋지다 배우 발견 돼다 소소하다 일 탈 잔잔하다 미소 머금 게 음악 조금 아쉽다 ㅠㅠ 점 주다 싶다 평점 올리다 싶다 점 주다,1
45,7719892,평점 속지 말다 시간 낭비 돈 낭비 임,0
